skill_id,name,version,description,status,discoverable,consolidation
autonom-ops,autonom-ops,1.0.0,"Session orchestration — autonomous commands, session lifecycle, JICM context, Ralph loop",active,yes,router (absorbs: autonomous-commands, session-management, context-management, ralph-loop)
autonomous-commands,autonomous-commands,1.0.0,"Execute Claude Code built-in commands via signal-based automation",active,no,absorbed by autonom-ops
context-management,context-management,4.0.0,"JICM v5.8 context monitoring, analysis, and compaction",active,no,absorbed by autonom-ops
doc-ops,doc-ops,1.0.0,"Document format operations — Word, Excel, PDF, PowerPoint",active,yes,router (absorbs: docx, xlsx, pdf, pptx)
docx,docx,1.0.0,"Word document creation, editing, tracked changes, formatting",active,no,absorbed by doc-ops
example-skill,example-skill,1.0.0,"Skill template reference for creating new skills",active,no,reference only
filesystem-ops,filesystem-ops,2.0.0,"File/directory operations via built-in tools (Read/Write/Glob/Grep/Bash)",active,yes,standalone
git-ops,git-ops,2.0.0,"Git operations via Bash commands (status/log/diff/commit/push)",active,yes,standalone
jarvis-status,jarvis-status,1.0.0,"Autonomic component status display with health grades (AC-01 through AC-09)",active,no,absorbed by self-ops
knowledge-ops,knowledge-ops,2.0.0,"4-tier memory hierarchy — dynamic KG, static KG, semantic RAG, documentary grounding",active,yes,x-ops router (standalone)
mcp-builder,mcp-builder,1.0.0,"Guide for creating MCP servers for external integrations",active,no,absorbed by mcp-ops
mcp-ops,mcp-ops,1.0.0,"MCP/skill lifecycle — build, validate, decompose plugins, create skills",active,yes,router (absorbs: mcp-builder, mcp-validation, plugin-decompose, skill-creator)
mcp-validation,mcp-validation,1.0.0,"Validate MCP installation, configuration, and functionality",active,no,absorbed by mcp-ops
pdf,pdf,1.0.0,"PDF manipulation: extraction, creation, merging, splitting, forms",active,no,absorbed by doc-ops
plugin-decompose,plugin-decompose,1.0.0,"Analyze and decompose plugins for Jarvis integration",active,no,absorbed by mcp-ops
pptx,pptx,1.0.0,"PowerPoint presentation creation, editing, layouts, notes",active,no,absorbed by doc-ops
ralph-loop,ralph-loop,1.0.0,"Iterative development via Ralph Wiggum technique",active,no,absorbed by autonom-ops
research-ops,research-ops,2.0.0,"Multi-source research — 14 backends: web, academic, financial, AI-augmented, scraping",active,yes,x-ops router (standalone)
self-improvement,self-improvement,1.0.0,"AC-05/06/07/08 orchestration: reflect, evolve, research, maintain",active,no,absorbed by self-ops
self-ops,self-ops,1.0.0,"Self-improvement, status monitoring, validation (AC-05/06/07/08)",active,yes,router (absorbs: self-improvement, jarvis-status, validation)
session-management,session-management,2.0.0,"Session lifecycle — start, checkpoint, exit with context preservation",active,no,absorbed by autonom-ops
skill-creator,skill-creator,1.0.0,"Guide for creating new skills following Format Standard v2.0",active,no,absorbed by mcp-ops
validation,validation,1.0.0,"Tooling health, infrastructure validation, design review (PARC)",active,no,absorbed by self-ops
weather,weather,2.0.0,"Weather via wttr.in API — no key required",active,yes,standalone
web-fetch,web-fetch,2.0.0,"Web content retrieval via WebFetch/WebSearch/curl",active,yes,standalone
xlsx,xlsx,1.0.0,"Excel spreadsheet creation, editing, formulas, data visualization",active,no,absorbed by doc-ops
